id,svenskt,latin,Organismgrupp,Kategori,Observationer,Landskapstyp,status_abbrev,Rodlistekriterium
249012,,Abia candens,stekel,Art,3,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse",DD,
249014,,Abia lonicerae,stekel,Art,2,Skog (S) - Stor betydelse,DD,
261452,,Abia nitens,stekel,Art,0,Jordbrukslandskap (J) - Stor betydelse,DD,
249011,väddstekel,Abia sericea,stekel,Art,13,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Våtmark (V) - Har betydelse",NT,B2ab(iii)
100149,,Abraeus granulum,skalbagge,Art,139,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,B2ab(iii)
100150,,Abraeus parvulus,skalbagge,Art,4,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",EN,B2ab(iii)
2,blek kryptolav,Absconditella delutula,"svamp, lav",Art,13,"Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse",VU,D1
100152,,Acalles camelus,skalbagge,Art,83,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",VU,B2ab(iii)
213487,,Acalles misellus,skalbagge,Art,95,Skog (S) - Stor betydelse,NT,B2a
100330,alvardyngbagge,Acanthobodilus immundus,skalbagge,Art,4,Jordbrukslandskap (J) - Stor betydelse,CR,"B1ab(iii,iv)c(iv)+2ab(iii,iv)c(iv)"
102916,,Acanthochitona crinita,blötdjur,Art,5,Marin miljö (M) - Stor betydelse,NT,D2
100155,mindre timmerman,Acanthocinus griseus,skalbagge,Art,164,"Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse",NT,B2ab(iii)
243657,,Acanthocnema latipennis,tvåvinge,Art,0,"Sötvatten (L) - Stor betydelse, Våtmark (V) - Har betydelse",DD,
1960,grenskålskinn,Acanthophysium fennicum,svamp,Art,0,Skog (S) - Stor betydelse,RE,
3,träspricklav,Acarospora anomala,"svamp, lav",Art,28,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",EN,D
1765,gyttrad kalkspricklav,Acarospora cervina,"svamp, lav",Art,112,Jordbrukslandskap (J) - Stor betydelse,VU,D1
218621,nacktofsspindel,Acartauchenius scurrilis,palpkäke,Art,15,"Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2ab(iii)
100156,trolldruvelobmätare,Acasis appensata,fjäril,Art,15,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Havsstrand (H) - Har betydelse",VU,B2ab(iii)
2192,pygmémossa,Acaulon muticum,mossa,Art,52,Jordbrukslandskap (J) - Stor betydelse,VU,"B2ab(iii,v)"
100001,duvhök,Accipiter gentilis,fågel,Art,196974,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse",NT,A2bc
5,naverlönn,Acer campestre,kärlväxt,Art,1579,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse",CR,D
102924,nordisk igelkottsspinnare,Acerbia alpina,fjäril,Art,8,Fjäll (F) - Stor betydelse,EN,"B1ab(iii,v)+2ab(iii,v)"
100157,sydlig gräsängsskinnbagge,Acetropis gimmerthalii,halvvinge,Art,6,Jordbrukslandskap (J) - Stor betydelse,VU,"B1ab(ii,iii)+2ab(ii,iii)"
250187,,Achalcus bimaculatus,tvåvinge,Art,0,"Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse",NT,"B1ab(ii,iii)+2ab(ii,iii)"
100158,,Achenium humile,skalbagge,Art,42,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",NT,B2ab(iii)
234580,,Achorotile longicornis,halvvinge,Art,0,Jordbrukslandskap (J) - Stor betydelse,DD,
100002,atlantisk stör,Acipenser oxyrinchus,fisk,Art,4,"Brackvatten (B) - Stor betydelse, Marin miljö (M) - Stor betydelse, Sötvatten (L) - Stor betydelse",RE,
214906,odonvårvecklare,Acleris fimbriana,fjäril,Art,4,"Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse",DD,
250432,almvårvecklare,Acleris kochiella,fjäril,Art,6,"Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse",VU,A3ce
100160,mindre aspvårvecklare,Acleris obtusana,fjäril,Art,25,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",NT,B2ab(iii)
100161,nyponhöstvecklare,Acleris permutana,fjäril,Art,26,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse",VU,"B2ab(i,ii,iii,iv,v)"
100162,brun ekvårvecklare,Acleris quercinana,fjäril,Art,4,Skog (S) - Stor betydelse,EN,"B1ab(ii,iii,v)c(iv)+2ab(ii,iii,v)c(iv)"
102360,större aspvårvecklare,Acleris roscidana,fjäril,Art,185,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",NT,B2ab(iii)
102361,olvonvårvecklare,Acleris schalleriana,fjäril,Art,29,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",NT,"B2ab(ii,iii,iv)"
100163,vågbandad skinnarbagge,Aclypea undata,skalbagge,Art,21,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",RE,
100164,kantad kulhalsbock,Acmaeops marginatus,skalbagge,Art,110,Skog (S) - Stor betydelse,EN,B2ab(iii)c(iv)
100165,korthårig kulhalsbock,Acmaeops septentrionis,skalbagge,Art,408,"Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse",NT,A2c+3c
100166,grön kulhalsbock,Acmaeops smaragdulus,skalbagge,Art,64,Skog (S) - Stor betydelse,RE,
498,liten sotlav,Acolium karelicum,"svamp, lav",Art,706,Skog (S) - Stor betydelse,VU,A2bc+3bc+4bc
501,parasitsotlav,Acolium sessile,"svamp, lav",Art,350,Jordbrukslandskap (J) - Stor betydelse,VU,D1
102362,strandveronikemal,Acompsia subpunctella,fjäril,Art,6,"Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse",VU,B2ab(iii)
6,äkta stormhatt,Aconitum napellus,kärlväxt,Art,183,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse",CR,D
100892,åkervindefly,Acontia trabealis,fjäril,Art,237,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse",VU,B2ab(iii)
102363,töckenfly,Acosmetia caliginosa,fjäril,Art,0,"Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse",RE,
101166,mindre träfjäril,Acossus terebra,fjäril,Art,284,Skog (S) - Stor betydelse,NT,"B2ab(ii,iii,v)"
100180,,Acritus minutus,skalbagge,Art,4,Skog (S) - Stor betydelse,RE,
100167,grått ekbladsmott,Acrobasis sodalella,fjäril,Art,70,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",NT,B2ab(iii)
102364,bergeksbladmott,Acrobasis tumidana,fjäril,Art,47,Skog (S) - Stor betydelse,NT,D2
100003,trastsångare,Acrocephalus arundinaceus,fågel,Art,17108,"Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse",NT°,D1
103077,busksångare,Acrocephalus dumetorum,fågel,Art,4316,"Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse",NT°,D1
103006,rörsångare,Acrocephalus scirpaceus,fågel,Art,156390,Våtmark (V) - Stor betydelse,NT,A2b
251461,kedjepyssling,Acrochaetium catenulatum,alg,Art,2,Marin miljö (M) - Stor betydelse,DD,
232510,slokepyssling,Acrochaetium cytophagum,alg,Art,2,Marin miljö (M) - Stor betydelse,DD,
251460,slemsnärjepyssling,Acrochaetium dumontiae,alg,Art,2,Marin miljö (M) - Stor betydelse,DD,
232515,blygpyssling,Acrochaetium immersum,alg,Art,0,Marin miljö (M) - Stor betydelse,DD,
232526,vårttrasselpyssling,Acrochaetium stilophorae,alg,Art,0,Marin miljö (M) - Stor betydelse,DD,
217697,strävbukig trådormstjärna,Acrocnida brachiata,tagghuding,Art,0,Marin miljö (M) - Stor betydelse,DD,
214214,ramslöksmal,Acrolepiopsis betulella,fjäril,Art,0,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",DD,
104371,,Acrolocha minuta,skalbagge,Art,5,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",DD,
100173,treuddsaftonfly,Acronicta tridens,fjäril,Art,57,"Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse",VU,"B2ab(iii,v)c(ii,iii,iv)"
250191,,Acropsilus niger,tvåvinge,Art,0,Våtmark (V) - Stor betydelse,DD,
102089,baltisk sandstilettfluga,Acrosathe baltica,tvåvinge,Art,5,Havsstrand (H) - Stor betydelse,EN,"B1ab(ii,iii)c(iv)+2ab(ii,iii)c(iv)"
100332,likgul dyngbagge,Acrossus luridus,skalbagge,Art,191,Jordbrukslandskap (J) - Stor betydelse,NT,B2ab(iii)c(iv)
232648,långgrening,Acrothrix gracilis,"alg, kromist",Art,1,Marin miljö (M) - Stor betydelse,VU,"B1ab(i,ii,iii,iv,v)c(ii,iii,iv)"
8,röd trolldruva,Actaea erythrocarpa,kärlväxt,Art,436,Skog (S) - Stor betydelse,NT,"B2ab(ii,iii,v)"
102150,,Actidium coarctatum,skalbagge,Art,2,Havsstrand (H) - Stor betydelse,RE,
241090,,Actinoptera discoidea,tvåvinge,Art,11,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",NT,B1b(iii)+2b(iii)
102151,,Actinopteryx fucicola,skalbagge,Art,1,Havsstrand (H) - Stor betydelse,RE,
217861,,Actinostola callosa,nässeldjur,Art,20,Marin miljö (M) - Stor betydelse,VU,D2
102961,drillsnäppa,Actitis hypoleucos,fågel,Art,231453,"Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse",NT,A2bce
100176,,Acylophorus glaberrimus,skalbagge,Art,10,"Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse",VU,"B1ab(iii,iv)+2ab(iii,iv)"
218171,storbubblig sköldnuding,Adalaria loveni,blötdjur,Art,1,Marin miljö (M) - Stor betydelse,DD,
218172,äggbubblig sköldnuding,Adalaria proxima,blötdjur,Art,1,Marin miljö (M) - Stor betydelse,DD,
102152,aspögonbagge,Aderus populneus,skalbagge,Art,283,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse",NT,B2ab(iii)
102794,,Admete viridula,blötdjur,Art,3,Marin miljö (M) - Stor betydelse,EN,B1ab(iii)+2ab(iii)
9,våradonis,Adonis vernalis,kärlväxt,Art,879,Jordbrukslandskap (J) - Stor betydelse,NT,B2a
222776,desmeknopp,Adoxa moschatellina,kärlväxt,Art,6594,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,A2bc+4abc
102366,ängsmetallvinge,Adscita statices,fjäril,Art,5899,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse, Skog (S) - Har betydelse",NT,A2c
218122,ögonfläckig stumpnuding,Aegires punctilucens,blötdjur,Art,1,Marin miljö (M) - Stor betydelse,VU,D1
100179,,Aeletes atomarius,skalbagge,Art,58,Skog (S) - Stor betydelse,NT,B2ab(iii)
100181,större spetsnäsa,Aelia rostrata,halvvinge,Art,0,Jordbrukslandskap (J) - Stor betydelse,CR,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
6028459,y-tecknad snigelkott,Aeolidia filomenae,blötdjur,Art,2,Marin miljö (M) - Stor betydelse,DD,
100183,tidvattenslöpare,Aepus marinus,skalbagge,Art,19,Havsstrand (H) - Stor betydelse,NT,B2ab(iii)
100184,brunoxe,Aesalus scarabaeoides,skalbagge,Art,65,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse",EN,B2ab(iii)
100185,odörtsblomvecklare,Aethes beatricella,fjäril,Art,13,"Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",VU,B2ac(iv)
214849,strandkvanneblomvecklare,Aethes dilucidana,fjäril,Art,21,Havsstrand (H) - Stor betydelse,VU,B1ab(iii)+2ab(iii)
102367,strätteblomvecklare,Aethes fennicana,fjäril,Art,11,Havsstrand (H) - Stor betydelse,NT,B2a
102368,rutig korgblomvecklare,Aethes tesserana,fjäril,Art,3,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",CR,"B2ab(iii,v)"
100187,,Agabus clypealis,skalbagge,Art,41,"Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse",VU,B1ab(iii)c(iv)+2ab(iii)c(iv)
206299,,Agapetus fuscipes,nattslända,Art,18,"Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse",VU,B2ab(iii)
100191,,Agaricochara latissima,skalbagge,Art,28,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,"B2ab(iii,iv)"
100192,,Agaricophagus cephalotes,skalbagge,Art,27,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,B2ab(iii)
2919,kopparchampinjon,Agaricus cupreobrunneus,svamp,Art,28,Jordbrukslandskap (J) - Stor betydelse,NT,D1
239075,dynchampinjon,Agaricus devoniensis,svamp,Art,5,"Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",DD,
2927,ullfotschampinjon,Agaricus lanipes,svamp,Art,11,Skog (S) - Stor betydelse,NT,B2b(iii); C2a(i)
2942,spetsfotad champinjon,Agaricus litoralis,svamp,Art,142,Jordbrukslandskap (J) - Stor betydelse,NT,A2c+3c+4c
239064,pärlchampinjon,Agaricus moelleri,svamp,Art,27,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",DD,
2932,brunfjällig karbolchampinjon,Agaricus phaeolepidotus,svamp,Art,2,"Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse",DD,
100193,suturfläckad mycelbagge,Agathidium discoideum,skalbagge,Art,111,Skog (S) - Stor betydelse,VU,"B2ab(iii,iv)"
100194,,Agathidium haemorrhoum,skalbagge,Art,39,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse",NT,B2b(iii)
100196,,Agathidium pallidum,skalbagge,Art,75,Skog (S) - Stor betydelse,VU,"B2ab(iii,iv)"
100198,,Agathidium plagiatum,skalbagge,Art,31,Skog (S) - Stor betydelse,VU,B2ab(iii)
100199,brokig aspmycelbagge,Agathidium pulchellum,skalbagge,Art,34,Skog (S) - Stor betydelse,EN,"B2ab(iii,iv)"
240274,,Agathomyia zetterstedti,tvåvinge,Art,1,"Skog (S) - Stor betydelse, Våtmark (V) - Har betydelse",NT,"B2ab(i,iv)"
100200,rödpannad vägstekel,Agenioideus ciliatus,stekel,Art,9,"Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse",EN,"B1ab(ii,iii)+2ab(ii,iii)"
100201,murvägstekel,Agenioideus sericeus,stekel,Art,24,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse",NT°,
100837,kilbi,Aglaoapis tridentata,stekel,Art,104,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",NT,B2a
227022,rektangelkrokgäling,Aglaophamus malmgreni,mask,Art,0,Marin miljö (M) - Stor betydelse,DD,
100202,,Aglenus brunneus,skalbagge,Art,11,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",VU,B2ab(iii)
